"Symbol","2024-11-25","2024-11-26","2024-11-28","2024-11-29","2024-12-02","2024-12-03","2024-12-04","2024-12-05","2024-12-06","2024-12-09","2024-12-10","2024-12-11","2024-12-12","2024-12-13","2024-12-16","2024-12-17","2024-12-18","2024-12-19","2024-12-20","2024-12-23","2024-12-24","2024-12-25","2024-12-26","2024-12-27","2024-12-30","2024-12-31","2025-01-02","2025-01-03","2025-01-06","2025-01-07","2025-01-08","2025-01-09","2025-01-12","2025-01-13","2025-01-14","2025-01-15","2025-01-16","2025-01-17","2025-01-20","2025-01-21","2025-01-22","2025-01-23","2025-01-27","2025-01-28","2025-01-29","2025-01-30","2025-01-31","2025-02-03","2025-02-04","2025-02-05","2025-02-06","2025-02-07","2025-02-10","2025-02-11","2025-02-12","2025-02-13","2025-02-14","2025-02-17","2025-02-18","2025-02-19","2025-02-20","2025-02-21","2025-02-24","2025-02-25","2025-02-27","2025-02-28"
"MRVL",93.2,93.14,90.1,92.69,96.34,97.54,115.605,113.525,113.685,108.387,108.26,110.01,109.75,120.23,122.11,114.94,111.27,106.91,110.85,113.64,114.49,114.49,114.92,113.435,110.385,111.59,114.485,117.555,122.99,117.5,117.1237,118.23,114.32,114.94,114.46,118.0815,116.82,119.965,124.76,123.95,125.64,124.3685,107.84,102.86,104.05,111.13,113.21,110.75,108.815,113.16,116.8,116.2201,112.18,111.115,107.77,105.935,102.05,106.51,105.585,110.2308,107.52,108.75,101.135,93.085,92.0,88.81
"MSFT",420.16,426.055,422.99,423.46,426.2835,429.84,436.425,437.23,443.52,445.17,449.12,445.99,452.03,450.1614,446.805,450.64,450.965,440.27,434.25,436.1,436.03,436.03,438.19,430.215,422.6353,425.63,425.125,422.3,430.8,430.14,425.715,424.56,418.95,415.0162,416.845,423.87,426.505,428.995,429.03,426.59,441.23,443.785,429.5901,435.27,441.38,421.565,418.93,411.67,411.34,411.18,417.48,417.14,412.31,410.725,408.39,407.63,406.41,408.43,410.34,409.335,414.43,415.105,401.44,401.315,399.97,390.32
"MSTR","","","","","","","","","","","","","","","","","","","",345.79,352.05,352.05,345.33,337.07,308.17,308.47,309.2129,309.3119,354.84,360.95,334.9949,331.7,327.91,318.02,340.51,361.0,348.89,389.0,396.5,377.965,382.46,386.26,350.495,344.26,336.8525,351.8,338.64,320.5803,349.1092,343.475,329.61,338.34,333.9016,335.365,321.9746,324.14,326.57,337.73,334.01,335.165,317.2806,325.075,286.96,259.175,254.08,243.68
"MU",104.1915,100.68,98.2,97.95,99.14,101.23,100.2521,103.02,101.59,104.05,102.52,101.22,100.5199,102.53,110.4091,108.955,110.935,85.44,86.75,89.95,89.0,89.0,88.58,88.642,85.04,85.47,86.43,88.735,98.74,104.74,99.65,99.41,99.34,94.38,95.59,102.2068,102.48,103.22,105.75,106.395,108.975,105.0,94.07,89.23,89.5,92.215,92.5495,89.66,90.0525,90.67,95.11,94.82,95.25,94.9874,90.9506,93.825,99.175,99.52,103.33,105.58,103.06,103.14,98.535,95.14,94.7908,91.79
"NFLX",867.27,875.55,877.34,886.81,899.73,891.55,908.49,914.9435,920.93,908.53,919.41,932.86,931.01,922.32,922.92,923.19,916.845,901.49,903.01,903.11,915.29,915.29,922.48,902.145,892.93,898.61,893.8592,890.07,882.02,881.555,880.31,875.0,837.69,842.88,838.2901,840.06,862.6,854.37,858.1,860.0,984.0,968.895,967.37,965.51,975.15,990.21,981.0,976.0673,1000.18,994.87,1006.38,1017.2,1019.24,1014.0,1007.235,1036.85,1044.25,1058.6,1047.745,1031.51,1022.4301,1027.61,991.9,978.4,978.39,966.225
"NVDA",138.095,135.16,135.34,138.25,139.8699,138.4671,141.9103,145.13,143.585,138.3507,140.67,137.59,136.77,138.88,132.43,127.5899,135.8763,130.1,132.38,137.16,141.59,141.59,138.99,136.7492,137.0903,136.92,137.11,143.95,149.5001,145.79,142.855,140.11,135.91,132.14,133.46,133.6,137.2601,136.698,137.71,139.18,146.205,145.335,126.875,119.805,125.2364,122.1568,124.7796,114.96,119.61,122.6,125.4996,129.71,133.88,133.31,131.7913,133.97,136.785,138.85,141.24,138.2888,137.4684,140.035,135.15,127.12,126.66,118.22
"NXPI",238.79,228.66,226.53,229.37,230.92,229.565,225.935,221.99,219.5,225.15,219.2,220.57,218.58,217.77,218.25,221.32,220.39,209.46,208.98,212.93,213.74,213.74,215.08,213.805,207.68,207.965,211.1,205.79,214.48,215.83,209.53,209.72,206.75,203.93,207.89,215.0,210.1,215.515,215.36,214.575,218.08,213.91,217.14,212.39,215.29,208.005,213.87,201.555,199.45,206.8,217.1875,214.54,211.65,212.68,217.77,219.06,222.815,224.14,230.0,232.53,249.695,244.065,236.24,234.57,223.71,218.97
"ODFL",223.8,225.97,224.11,225.14,225.71,221.135,215.2,209.88,205.065,204.76,202.0,204.8,203.015,202.25,199.135,198.14,199.245,190.26,177.79,180.24,180.62,180.62,180.8,181.9,175.39,177.47,179.8581,177.05,183.66,181.62,179.61,179.58,176.41,176.52,182.64,186.63,185.97,186.925,189.55,190.17,190.57,191.07,193.8925,192.97,189.1175,184.33,186.365,183.83,182.6,196.11,197.8,195.325,199.49,202.96,199.61,204.75,209.195,206.34,207.39,206.41,204.13,181.785,183.98,182.28,176.34,178.05
"ON",73.97,70.6,70.35,71.12,71.88,72.385,68.06,66.145,66.815,68.545,66.69,67.67,67.045,65.99,66.035,68.94,68.09,65.52,65.45,66.63,66.99,66.99,67.32,66.47,63.585,63.38,63.35,61.76,65.92,64.595,60.94,58.31,53.94,54.81,55.09,55.675,53.83,54.55,54.63,55.325,56.3,55.04,55.15,53.54,54.2205,51.95,53.06,50.01,50.65,50.43,52.18,52.0,49.01,48.44,48.155,50.145,51.07,51.83,52.24,52.28,57.025,54.945,53.28,53.7,49.17,47.7
"ORLY",1238.76,1249.06,1244.01,1243.22,1243.92,1241.805,1244.67,1242.6,1249.0001,1251.115,1265.72,1272.075,1261.9,1275.16,1274.845,1263.55,1249.205,1224.3863,1212.26,1202.79,1212.08,1212.08,1222.59,1209.28,1187.23,1187.0,1192.1,1186.54,1214.74,1214.8492,1197.915,1205.74,1197.6,1212.57,1213.775,1213.87,1203.215,1215.44,1216.79,1254.68,1240.535,1242.97,1266.875,1278.24,1278.22,1305.33,1304.49,1292.63,1318.76,1339.435,1321.845,1337.84,1313.395,1307.31,1320.32,1330.83,1326.82,1318.8,1305.81,1294.0,1296.75,1302.7,1309.68,1322.76,1343.47,1360.77
"PANW",387.6,395.9515,384.37,387.82,387.08,393.86,400.3874,405.66,405.94,393.0,395.33,392.41,402.805,399.02,198.43,200.71,194.8542,189.63,188.34,187.34,187.96,187.96,188.45,185.5199,182.72,183.689,184.0,182.44,180.57,175.225,168.43,172.83,173.42,168.29,168.07,174.47,173.82,178.53,177.11,184.37,184.72,186.29,190.12,190.58,187.2999,188.1641,188.32,180.9476,182.62,184.055,188.0558,196.225,196.54,196.505,194.205,197.54,190.5,200.03,204.88,205.1999,196.16,197.1225,189.85,187.88,189.77,188.66
"PAYX",145.31,146.19,145.71,146.27,145.18,144.89,144.15,142.72,143.56,141.265,140.92,142.35,139.985,140.87,141.005,141.24,140.135,139.58,137.42,138.97,140.09,140.09,141.35,142.915,138.72,140.57,140.5,138.375,137.875,139.72,138.795,140.25,139.06,139.51,140.115,144.72,144.4,147.45,146.29,146.535,146.15,145.24,147.18,148.432,148.0,149.665,148.175,146.66,147.99,149.35,151.28,149.91,147.07,146.12,144.99,147.105,148.82,147.25,148.39,148.06,149.91,148.605,149.73,151.35,150.05,150.08
"PCAR",116.66,115.82,116.18,117.0,116.1,117.44,117.37,117.535,116.295,115.9,113.765,116.35,112.89,112.71,112.44,112.68,111.74,107.545,104.7037,104.55,104.05,104.05,105.0,105.54,102.965,104.11,105.2,102.8,108.15,110.065,108.31,108.5,106.58,107.48,110.2,111.47,108.71,110.3725,110.33,110.69,110.45,109.845,108.98,107.6,110.715,112.3,112.46,108.83,108.76,106.1,107.45,107.87,106.79,105.84,103.35,103.86,105.76,105.96,105.045,106.275,106.1,104.43,105.82,107.36,106.4783,106.64
"PDD",100.98,101.49,98.8,96.56,96.96,98.94,97.3,98.41,100.42,111.21,105.96,100.64,103.585,101.06,101.04,100.23,103.03,100.47,99.81,99.49,99.7,99.7,99.17,97.02,95.245,97.185,97.21,96.68,101.59,98.915,99.97,100.32,94.68,96.08,98.935,99.85,99.99,105.33,105.57,105.2,102.37,101.83,109.02,110.555,111.45,113.04,113.95,107.37,110.94,112.08,110.59,114.67,117.08,114.545,118.42,119.0,124.64,124.16,126.81,125.74,128.2,130.255,120.4776,119.485,117.845,114.5
"PEP",163.2,162.16,162.72,163.45,162.065,162.37,159.71,160.04,159.541,161.15,158.42,159.5454,158.92,157.77,157.66,157.49,154.79,152.75,151.3188,151.18,151.21,151.21,152.99,153.03,151.41,152.1,152.49,149.87,148.82,147.79,145.18,146.54,142.64,142.675,144.37,145.29,144.232,147.79,148.25,149.43,148.725,147.065,152.22,153.48,150.7,151.25,151.175,149.215,147.09,143.67,145.8,144.7,143.77,143.85,143.98,144.0,145.58,143.39,142.05,145.115,147.235,149.235,155.06,157.19,151.865,154.31
"PLTR","","","","","","","","","","","","","","","","","","","",78.9,84.51,84.51,81.97,79.84,76.5501,76.901,75.21,76.9799,78.155,72.7603,68.1,68.23,67.26,64.99,66.5401,68.23,69.4,70.66,71.77,72.425,74.4478,77.8,76.14,76.08,78.57,80.76,84.15,79.65,106.1918,101.865,104.215,113.775,111.64,116.3798,115.0512,116.07,119.5,119.16,122.4399,122.865,97.3899,105.775,91.43,88.6208,87.5,80.85
"PYPL",87.85,87.287,86.57,86.77,86.575,85.23,85.29,88.73,89.45,90.51,89.6226,89.38,90.32,90.28,90.59,91.492,90.62,86.775,86.78,86.26,87.1,87.1,87.78,87.27,84.81,85.48,86.42,86.67,88.6,89.205,87.315,87.94,83.36,82.75,85.885,89.34,90.13,91.06,91.81,91.44,89.539,88.83,88.865,87.89,88.285,90.535,89.81,86.58,80.37,78.48,78.66,78.3901,78.535,76.91,76.27,76.64,76.847,77.97,78.09,77.885,77.34,76.49,74.84,73.94,71.55,70.43
"QCOM",160.0,156.4,156.4,158.53,161.7,163.0793,163.3458,162.91,160.02,162.85,159.69,159.421,157.7,158.97,154.81,158.4402,160.6001,151.01,151.04,156.97,158.17,158.17,158.17,157.035,154.2,154.5284,156.915,155.74,162.845,161.705,158.26,159.08,156.98,156.47,159.175,163.585,163.16,164.92,164.56,166.51,171.195,170.58,170.035,170.735,172.89,172.06,175.555,169.025,171.63,171.21,166.6525,169.91,169.7962,171.25,169.65,171.88,171.83,172.23,171.78,174.89,174.875,173.38,164.0796,162.13,159.575,155.11
"REGN",750.02,753.03,754.87,750.22,753.825,754.1754,747.05,758.02,775.64,795.215,764.855,769.705,767.5,736.0,734.52,736.37,740.795,698.3,707.19,710.89,706.75,706.75,716.87,716.4192,703.234,709.9622,719.4,717.09,726.68,731.62,728.0,733.59,696.88,680.45,703.02,702.55,700.55,699.78,681.58,686.01,695.96,679.9024,689.315,683.41,689.305,682.415,678.58,664.35,681.68,725.83,729.195,725.27,714.58,676.93,668.87,668.3401,681.06,673.6,682.515,682.9,692.34,696.095,712.8,734.55,716.35,697.555
"ROP",557.94,561.89,564.35,566.44,563.73,562.56,569.61,558.4,553.93,549.27,545.32,552.505,549.865,544.82,543.59,543.0,535.535,525.81,521.815,523.64,525.24,525.24,527.55,527.31,514.715,520.74,524.0,513.75,511.92,511.21,506.995,510.3,502.71,501.66,507.69,515.12,518.85,520.505,522.32,529.97,534.665,530.05,535.445,543.18,547.94,582.51,575.2869,571.175,575.2,573.9,579.825,583.45,572.94,574.34,570.29,568.955,575.42,573.58,572.29,572.22,576.885,574.84,573.68,582.57,577.565,577.865
"ROST",152.52,154.38,154.89,154.87,155.31,154.005,155.26,156.305,157.635,158.2386,155.29,155.94,154.005,153.18,151.88,150.125,151.88,148.41,148.68,147.82,148.9,148.9,151.25,153.695,150.45,152.265,154.41,152.6,155.925,154.48,151.08,154.63,151.74,148.305,151.035,149.88,148.88,151.205,149.15,147.645,147.5725,149.06,148.125,145.895,150.275,151.875,153.49,146.22,147.055,146.18,148.735,142.735,141.7104,140.6,139.06,139.425,139.955,138.76,137.77,138.66,139.1975,138.19,135.945,137.62,138.72,140.27
"SBUX",101.98,100.68,101.51,102.46,100.99,100.685,100.55,100.16,99.105,99.47,98.4325,98.625,98.17,97.425,95.135,93.515,91.942,89.63,88.265,87.31,88.12,88.12,90.53,92.85,90.12,91.35,92.4,92.18,93.37,92.62,92.285,92.6,92.25,92.26,94.68,93.77,93.04,95.645,95.13,97.64,97.68,97.6,99.025,99.695,105.62,109.34,108.68,105.96,108.695,110.63,111.76,111.01,111.5522,111.16,111.065,112.125,112.69,112.55,111.8113,112.885,112.74,114.185,112.33,113.39,114.11,115.0
"SMCI",37.8017,35.3,35.07,32.64,36.74,44.275,40.48,42.634,43.3097,45.78,41.85,37.7119,38.835,36.945,34.4382,34.14,33.25,30.93,32.3225,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNPS",561.0,553.95,547.74,558.49,561.38,567.44,580.54,527.69,526.725,514.75,497.8655,512.5,512.305,514.52,512.959,519.24,513.09,497.31,493.97,495.06,495.35,495.35,495.24,492.68,479.98,487.2,490.79,488.25,506.1988,496.995,493.66,502.0,492.54,490.59,489.09,506.12,511.955,524.74,526.7,530.135,542.855,539.92,520.76,512.895,517.62,521.62,526.67,512.8,517.25,517.0,533.33,538.82,533.74,528.05,513.18,511.32,524.6,522.53,517.82,500.6125,498.985,488.89,471.84,464.29,463.88,458.085
"TEAM",263.1,262.15,262.46,263.58,265.58,267.46,281.52,280.02,278.48,276.86,275.04,270.89,277.055,275.875,277.23,275.21,263.395,250.68,253.805,253.45,252.58,252.58,255.09,250.82,243.71,246.25,245.38,244.35,257.09,253.0,242.2,244.49,242.39,238.99,238.695,252.38,253.565,253.69,252.36,252.37,260.06,261.4795,267.41,273.0,267.035,269.12,314.6933,313.17,318.57,315.99,321.5975,318.255,317.6975,319.42,313.055,318.58,311.67,313.1,314.88,312.33,295.06,291.9,278.555,279.995,285.73,276.285
"TMUS",240.85,245.791,246.2,246.94,245.585,244.15,243.575,243.72,244.9,235.9499,233.14,234.495,232.1958,231.25,231.45,227.3,222.34,219.265,219.805,218.76,222.77,222.77,223.95,223.7,221.04,221.29,220.95,219.91,210.93,214.555,212.645,215.52,211.3,213.86,214.385,216.92,215.6,218.26,218.97,220.035,218.87,218.01,221.295,222.795,240.38,240.42,233.65,233.3,238.445,240.59,244.56,249.14,252.094,254.67,258.545,257.34,266.8399,270.815,266.25,263.71,264.64,265.1,271.675,271.77,264.96,266.2
"TSLA",340.06,340.2,332.89,345.16,356.06,350.889,351.08,371.6725,374.16,385.82,405.04,404.3,420.3293,424.09,437.21,482.09,476.355,441.51,434.4126,427.36,449.34,449.34,456.73,439.94,417.6601,421.475,388.15,389.455,418.86,407.72,397.7466,394.94,394.74,387.5186,411.8838,415.34,416.615,425.3187,426.5,412.35,418.2,413.23,403.66,391.8561,393.33,389.16,414.23,381.57,388.2982,385.4,367.32,376.41,355.68,344.4275,334.42,347.76,353.1499,355.84,357.5012,363.71,350.93,352.4,328.85,313.54,284.34,281.64
"TTD",128.8,128.98,128.15,128.55,132.0,136.4913,140.15,137.835,138.395,133.2,136.68,134.1349,133.665,133.225,132.4,132.63,134.72,126.46,125.55,123.56,122.24,122.24,122.77,121.5,118.77,118.505,118.77,120.2201,125.5225,123.63,121.54,121.52,118.8,119.255,117.9,119.71,121.02,123.78,124.42,123.73,121.83,117.595,119.845,119.45,119.61,123.5,120.335,116.71,114.945,113.78,116.06,116.8125,122.38,119.99,119.8862,83.995,82.0117,80.16,78.725,78.58,75.0096,74.51,71.45,74.85,71.48,72.16
"TTWO",183.53,187.42,185.56,188.38,188.13,187.58,187.63,190.005,190.11,189.38,188.07,187.89,190.22,186.71,187.055,186.71,187.28,181.56,181.54,181.84,184.23,184.23,185.0,186.35,182.515,184.83,184.16,186.13,191.56,184.03,180.515,183.74,178.61,179.23,179.01,183.3,181.535,185.86,186.41,186.8,185.02,181.52,188.55,186.31,188.53,192.26,188.9206,183.36,185.98,183.22,183.2952,207.975,211.58,211.0,208.4,209.07,211.26,208.76,213.43,214.2,210.53,214.88,210.03,208.445,208.835,207.99
"TXN",207.1267,200.95,199.19,201.03,199.775,198.37,196.9,195.55,194.2,196.5599,192.09,191.835,190.695,190.02,191.485,189.39,191.11,185.47,185.255,188.0,190.69,190.69,191.72,190.885,187.67,187.52,189.05,187.97,192.59,193.9,189.41,191.66,190.15,189.17,190.23,197.06,189.41,190.905,192.42,193.195,198.25,196.63,185.365,182.65,180.945,183.085,187.1063,179.225,180.5,178.63,181.8445,181.9,180.57,181.29,177.305,180.3,182.785,183.03,183.71,189.55,200.455,204.035,201.68,201.69,196.12,193.77
"VRSK",291.49,294.6,294.56,294.21,292.18,287.34,291.18,288.98,287.565,283.43,284.71,288.4,285.192,282.81,282.31,281.815,278.75,275.64,275.67,274.42,276.55,276.55,278.21,278.15,273.83,276.47,276.95,274.52,274.42,273.25,274.305,280.42,268.63,269.675,272.88,274.865,274.94,279.28,278.55,280.04,280.9,277.815,281.62,283.05,282.865,285.84,287.74,284.68,290.8,289.285,290.45,296.23,292.27,292.025,290.855,294.755,295.51,293.48,294.32,294.09,292.19,294.35,297.075,298.6659,290.79,292.88
"VRTX",464.04,467.07,464.56,468.13,467.18,461.8,454.93,466.25,464.5499,471.925,467.17,467.985,466.11,462.37,463.7775,472.755,466.54,391.58,392.23,394.3,405.55,405.55,408.75,408.62,401.99,402.5301,408.19,407.01,401.49,409.1,407.79,412.11,409.56,401.09,411.5,419.84,418.89,422.17,422.0,425.17,428.38,427.3,438.285,440.72,436.72,443.47,464.575,462.16,471.555,488.06,487.045,477.29,468.43,460.605,450.86,453.29,463.2201,459.0,460.15,467.0,475.8,480.96,484.935,485.47,485.25,476.15
"WBD",10.365,10.2,10.38,10.48,10.36,10.425,10.57,10.7401,10.775,11.075,10.945,10.85,12.33,12.48,12.06,11.37,11.25,10.435,10.61,10.54,10.42,10.42,10.5,10.615,10.3323,10.695,10.75,10.485,10.675,10.755,10.065,10.06,9.7,9.815,9.805,9.91,9.625,9.665,9.52,9.775,9.765,10.07,10.395,10.175,10.5757,10.45,10.71,10.04,10.24,10.0,10.1661,10.212,10.0693,9.885,9.755,9.8251,10.2301,10.34,10.37,10.625,10.815,11.105,10.735,10.995,11.32,10.9799
"WDAY",268.65,241.25,253.4,249.99,250.1,257.545,266.17,266.35,267.2,281.5,274.3557,273.815,271.23,274.07,271.23,278.2,278.27,267.73,267.44,266.84,265.48,265.48,267.33,267.295,259.575,260.665,257.83,253.37,254.16,252.34,253.745,254.69,249.71,245.935,246.575,249.53,249.99,251.76,249.64,248.3,256.78,250.675,264.255,267.525,265.62,262.14,264.14,257.415,258.28,265.99,276.795,278.57,273.9689,265.6,257.58,257.3775,260.52,258.05,261.08,257.275,259.605,257.65,253.66,256.245,266.09,264.48
"XEL",71.81,71.87,72.92,72.56,71.75,71.545,70.69,71.04,69.96,69.13,68.58,68.795,68.61,67.93,67.97,68.285,67.825,66.99,66.83,66.85,67.89,67.89,68.19,68.427,67.56,67.98,67.21,66.7,65.93,66.43,65.24,66.39,63.37,63.5,63.62,65.36,65.2199,66.39,66.72,67.775,67.38,66.85,67.2,66.84,66.7204,66.68,66.71,66.58,67.11,67.52,66.41,67.61,66.45,66.32,66.44,67.635,69.31,68.61,68.73,69.195,69.08,69.66,70.73,70.525,70.475,71.83
"ZS",211.28,208.99,204.96,206.59,210.28,201.46,200.415,205.42,209.96,209.55,206.33,204.99,207.74,204.21,201.405,199.78,193.26,183.5215,185.21,186.08,185.82,185.82,186.98,184.21,180.6893,182.865,183.365,184.22,187.655,188.43,184.44,187.28,189.98,187.82,185.43,188.34,189.41,189.43,187.58,189.3625,191.79,190.19,195.71,195.0,201.715,203.73,204.625,199.1652,200.545,202.5,204.0,208.49,208.87,208.62,208.145,210.31,213.08,212.7,216.07,212.34,204.325,204.15,193.34,192.99,194.51,192.76
